,district,page_number,representative_plot,taxpayer_men,taxpayer_women,no_tax_men,no_tax_women,in_russia_men,in_russia_women,total_men,total_women,independent,servants,unemployed,orthodox,other_christian,other_religion,draftable
0,Valli,1,3,11,26.0,14.0,12.0,0.0,0.0,25,38.0,34.0,27.0,2.0,7.0,0.0,0.0,0.0
1,Valli,2,6,12,23.0,13.0,11.0,0.0,0.0,25,34.0,34.0,17.0,8.0,8.0,0.0,0.0,0.0
2,Valli,3,9,18,23.0,1.0,3.0,0.0,0.0,19,26.0,26.0,18.0,1.0,0.0,0.0,0.0,1.0
3,Valli,4,11,17,26.0,18.0,9.0,0.0,0.0,35,35.0,53.0,15.0,2.0,0.0,0.0,0.0,1.0
4,Valli,5,15,14,19.0,4.0,9.0,0.0,0.0,18,28.0,22.0,8.0,16.0,0.0,0.0,0.0,0.0
5,Valli,6,19,24,23.0,16.0,3.0,0.0,0.0,40,26.0,40.0,24.0,2.0,6.0,0.0,0.0,1.0
6,Valli,7,23,13,15.0,3.0,9.0,0.0,0.0,16,24.0,16.0,18.0,6.0,1.0,0.0,0.0,0.0
7,Valli,8,27,18,23.0,8.0,7.0,0.0,0.0,26,30.0,28.0,28.0,0.0,24.0,0.0,0.0,0.0
8,Valli,9,30,16,29.0,9.0,13.0,0.0,0.0,25,42.0,33.0,25.0,9.0,2.0,0.0,0.0,1.0
9,Valli,10,34,15,17.0,6.0,9.0,0.0,0.0,21,26.0,36.0,6.0,5.0,1.0,0.0,0.0,0.0
10,Valli,11,36,19,22.0,7.0,5.0,0.0,0.0,26,27.0,23.0,20.0,10.0,2.0,0.0,0.0,1.0
11,Valli,12,38,22,25.0,13.0,8.0,0.0,0.0,35,33.0,21.0,27.0,20.0,4.0,0.0,0.0,0.0
12,Valli,13,39,20,28.0,6.0,12.0,0.0,0.0,26,40.0,39.0,14.0,13.0,22.0,0.0,0.0,2.0
13,Valli,14,42,19,23.0,8.0,9.0,0.0,0.0,27,32.0,41.0,14.0,4.0,1.0,0.0,0.0,0.0
14,Valli,15,45,9,23.0,7.0,14.0,0.0,0.0,16,37.0,22.0,21.0,10.0,0.0,0.0,0.0,0.0
15,Valli,16,48,10,20.0,9.0,10.0,0.0,0.0,19,30.0,10.0,27.0,12.0,18.0,0.0,0.0,1.0
16,Valli,17,51,10,27.0,10.0,9.0,0.0,0.0,20,36.0,21.0,28.0,7.0,1.0,0.0,0.0,0.0
17,Valli,18,53,14,27.0,8.0,5.0,0.0,0.0,22,32.0,28.0,18.0,8.0,1.0,0.0,0.0,0.0
18,Valli,19,54,13,22.0,7.0,2.0,0.0,0.0,20,24.0,11.0,26.0,7.0,0.0,0.0,0.0,0.0
19,Valli,20,58,18,17.0,9.0,9.0,0.0,0.0,27,26.0,38.0,14.0,1.0,3.0,0.0,0.0,1.0
20,Valli,21,61,14,33.0,2.0,4.0,0.0,0.0,16,37.0,32.0,18.0,3.0,12.0,0.0,0.0,0.0
21,Valli,22,62,20,21.0,8.0,8.0,0.0,0.0,28,29.0,36.0,16.0,5.0,11.0,0.0,0.0,1.0
22,Valli,23,66,25,22.0,15.0,12.0,0.0,0.0,40,34.0,46.0,28.0,0.0,12.0,0.0,0.0,2.0
23,Valli,24,69,21,23.0,8.0,11.0,0.0,0.0,29,34.0,37.0,16.0,10.0,2.0,0.0,0.0,1.0
24,Valli,25,70,19,23.0,6.0,5.0,0.0,0.0,25,28.0,38.0,9.0,6.0,2.0,0.0,0.0,1.0
25,Valli,26,74,18,32.0,10.0,11.0,0.0,0.0,28,43.0,54.0,16.0,1.0,6.0,0.0,0.0,0.0
26,Valli,27,77,16,27.0,3.0,10.0,0.0,0.0,19,37.0,34.0,10.0,12.0,3.0,0.0,0.0,1.0
27,Valli,28,84,19,19.0,3.0,3.0,0.0,0.0,22,22.0,24.0,14.0,6.0,0.0,0.0,0.0,0.0
28,Valli,29,89,14,25.0,6.0,18.0,0.0,0.0,20,43.0,31.0,13.0,19.0,10.0,0.0,0.0,0.0
29,Valli,30,92,23,30.0,15.0,13.0,0.0,0.0,38,43.0,37.0,37.0,7.0,20.0,0.0,0.0,0.0
30,Valli,31,98,9,25.0,5.0,5.0,0.0,0.0,14,30.0,31.0,7.0,6.0,0.0,0.0,0.0,1.0
31,Valli,32,102,16,25.0,9.0,8.0,0.0,0.0,25,33.0,34.0,16.0,8.0,2.0,0.0,0.0,0.0
32,Valli,33,106,16,25.0,9.0,12.0,0.0,0.0,25,37.0,38.0,10.0,14.0,5.0,0.0,0.0,0.0
33,Valli,34,109,20,15.0,3.0,5.0,0.0,0.0,23,20.0,21.0,20.0,2.0,2.0,0.0,0.0,0.0
34,Valli,35,113,18,22.0,6.0,4.0,0.0,0.0,24,26.0,26.0,21.0,3.0,9.0,0.0,0.0,1.0
35,Valli,36,116,22,22.0,8.0,8.0,0.0,0.0,30,30.0,48.0,9.0,3.0,0.0,0.0,0.0,1.0
36,Valli,37,117,17,24.0,2.0,6.0,0.0,0.0,19,30.0,15.0,26.0,8.0,2.0,0.0,0.0,0.0
